PROPERTY NAME,BRAND,BRANCH,PARENT SITE,AREA,REGION,TYPE,FULL ADDRESS,LAT,LON,SOURCE,LOCATION CONFIDENCE,REP,VISIT DATE,OUTCOME,REQUIREMENT,COMPETITOR/VENDOR,PRICING,CONTACT ROLE,CONTACT NAME,CONTACT PHONE,FOLLOW-UP,REMARKS,LOGGED_LAT,LOGGED_LON,OVERLAP_FLAG,OVERLAP_REP,DATA_STATUS
Meridian Tech Park,Meridian,Whitefield,,Whitefield,East Bengaluru,Business Park,"110, Whitefield Main Road, Bengaluru",12.97347,77.752278,synthetic_demo,high,Rep C,2026-05-01,Competitor,,None,Quote requested,Admin Manager,Contact 011,+91-90000-10010,Check requirement next month,Initial discussion completed.,12.973211,77.752419,No,,Synthetic Demo
UrbanHive Workspace,UrbanHive,Mahadevapura,,Mahadevapura,East Bengaluru,Corporate Office,"111, Mahadevapura Main Road, Bengaluru",12.991683,77.700066,synthetic_demo,high,Rep D,2026-05-04,No Requirement,,None,,Facility Manager,Contact 012,+91-90000-10011,Share proposal,Parking demand appears higher during peak hours.,12.990991,77.699316,No,,Synthetic Demo
Greenfield Corporate Centre,Greenfield,Brookefield,,Brookefield,East Bengaluru,Tech Park,"112, Brookefield Main Road, Bengaluru",12.974487,77.713039,synthetic_demo,high,Rep A,2026-05-07,Follow-up,,Urban Parking Solutions,Quote requested,Operations Manager,Contact 013,+91-90000-10012,,Opportunity requires management approval.,12.974464,77.713102,No,,Synthetic Demo
Skyline Tech Campus,Skyline,Marathahalli,,Marathahalli,East Bengaluru,Coworking Space,"113, Marathahalli Main Road, Bengaluru",12.954213,77.692561,synthetic_demo,high,Rep B,2026-05-10,Space Shortage,Valet support during peak hours,ParkPro Services,Not discussed,Security Manager,Contact 014,+91-90000-10013,Check requirement next month,Parking demand appears higher during peak hours.,12.953564,77.692815,No,,Synthetic Demo
PrimeWorks Business Park,PrimeWorks,Bellandur,,Bellandur,South-East Bengaluru,Business Park,"114, Bellandur Main Road, Bengaluru",12.92917,77.677645,synthetic_demo,high,Rep C,2026-05-13,Follow-up,,SecurePark,Not discussed,Facility Manager,Contact 015,+91-90000-10014,Send quotation,Opportunity requires management approval.,12.929416,77.677879,No,,Synthetic Demo
NexGen Office Hub,NexGen,Domlur,,Domlur,East Bengaluru,Corporate Office,"115, Domlur Main Road, Bengaluru",12.964586,77.641457,synthetic_demo,high,Rep D,2026-05-16,Opportunity,Additional visitor parking,None,Quote requested,Admin Manager,Contact 016,+91-90000-10015,Revisit next week,Parking demand appears higher during peak hours.,12.964644,77.640881,No,,Synthetic Demo
SilverOak Tech Garden,SilverOak,Koramangala,,Koramangala,South Bengaluru,Tech Park,"116, Koramangala Main Road, Bengaluru",12.935635,77.630177,synthetic_demo,high,Rep A,2026-05-19,No Requirement,,SecurePark,Quote requested,Facility Manager,Contact 017,+91-90000-10016,Call facility manager,Security team redirected the enquiry.,12.936128,77.630747,No,,Synthetic Demo
Maple Corporate Park,Maple,HSR Layout,,HSR Layout,South-East Bengaluru,Coworking Space,"117, HSR Layout Main Road, Bengaluru",12.910142,77.648024,synthetic_demo,high,Rep B,2026-05-22,Opportunity,20 car parking spaces,None,Quote requested,Admin Manager,Contact 018,+91-90000-10017,,Security team redirected the enquiry.,12.910119,77.647566,No,,Synthetic Demo
Crest Business Centre,Crest,Indiranagar,,Indiranagar,East Bengaluru,Business Park,"118, Indiranagar Main Road, Bengaluru",12.982353,77.642222,synthetic_demo,high,Rep C,2026-05-25,Competitor,,ParkPro Services,Not discussed,Facility Manager,Contact 019,+91-90000-10018,,Security team redirected the enquiry.,12.981977,77.642677,No,,Synthetic Demo
Elevate Coworking Campus,Elevate,Electronic City,,Electronic City,South Bengaluru,Corporate Office,"119, Electronic City Main Road, Bengaluru",12.84954,77.661128,synthetic_demo,high,Rep D,2026-05-28,Competitor,,SecurePark,Not discussed,Admin Manager,Contact 020,+91-90000-10019,Call facility manager,Parking demand appears higher during peak hours.,12.849215,77.661878,No,,Synthetic Demo
Zenith Tech Park,Zenith,Whitefield,,Whitefield,East Bengaluru,Tech Park,"120, Whitefield Main Road, Bengaluru",12.972255,77.74445,synthetic_demo,high,Rep A,2026-05-31,Access Blocked,,MetroValet,,Facility Manager,Contact 021,+91-90000-10020,,Existing parking arrangement is currently being reviewed.,12.972218,77.745121,No,,Synthetic Demo
Harbor Business Hub,Harbor,Mahadevapura,,Mahadevapura,East Bengaluru,Coworking Space,"121, Mahadevapura Main Road, Bengaluru",12.990335,77.701673,synthetic_demo,high,Rep B,2026-06-03,Access Blocked,,None,,Admin Manager,Contact 022,+91-90000-10021,,Initial discussion completed.,12.990487,77.701953,No,,Synthetic Demo
Matrix Corporate Centre,Matrix,Brookefield,,Brookefield,East Bengaluru,Business Park,"122, Brookefield Main Road, Bengaluru",12.963958,77.711793,synthetic_demo,high,Rep C,2026-06-06,No Requirement,,None,Quote requested,Property Manager,Contact 023,+91-90000-10022,Send quotation,Existing parking arrangement is currently being reviewed.,12.963222,77.711124,No,,Synthetic Demo
NorthStar Tech Park,NorthStar,Marathahalli,,Marathahalli,East Bengaluru,Corporate Office,"123, Marathahalli Main Road, Bengaluru",12.954312,77.694736,synthetic_demo,high,Rep D,2026-06-09,Space Shortage,Valet support during peak hours,MetroValet,Quote requested,Operations Manager,Contact 024,+91-90000-10023,Revisit next week,Parking demand appears higher during peak hours.,12.953937,77.694145,No,,Synthetic Demo
Catalyst Business Park,Catalyst,Bellandur,,Bellandur,South-East Bengaluru,Tech Park,"124, Bellandur Main Road, Bengaluru",12.926628,77.674778,synthetic_demo,high,Rep A,2026-06-12,Space Shortage,25 cars and 40 bikes,MetroValet,,Facility Manager,Contact 025,+91-90000-10024,Check requirement next month,Security team redirected the enquiry.,12.926822,77.674879,No,,Synthetic Demo
Oakwood Workspaces,Oakwood,Domlur,,Domlur,East Bengaluru,Coworking Space,"125, Domlur Main Road, Bengaluru",12.959342,77.635214,synthetic_demo,high,Rep B,2026-06-15,Opportunity,20 car parking spaces,Urban Parking Solutions,Budget discussion,Admin Manager,Contact 026,+91-90000-10025,Share proposal,Facility team requested more details.,12.959951,77.635821,No,,Synthetic Demo
Fusion Tech Campus,Fusion,Koramangala,,Koramangala,South Bengaluru,Business Park,"126, Koramangala Main Road, Bengaluru",12.932404,77.62974,synthetic_demo,high,Rep C,2026-06-18,Follow-up,,ParkPro Services,Not discussed,Property Manager,Contact 027,+91-90000-10026,Call facility manager,Opportunity requires management approval.,12.932088,77.630514,No,,Synthetic Demo
BluePeak Corporate Hub,BluePeak,HSR Layout,,HSR Layout,South-East Bengaluru,Corporate Office,"127, HSR Layout Main Road, Bengaluru",12.913376,77.64871,synthetic_demo,high,Rep D,2026-06-21,Operational Inefficiency,Overflow parking solution,Urban Parking Solutions,Budget discussion,Facility Manager,Contact 028,+91-90000-10027,,Parking demand appears higher during peak hours.,12.912999,77.649334,No,,Synthetic Demo
Vantage Business Centre,Vantage,Indiranagar,,Indiranagar,East Bengaluru,Tech Park,"128, Indiranagar Main Road, Bengaluru",12.974454,77.64355,synthetic_demo,high,Rep A,2026-06-24,Space Shortage,Valet support during peak hours,MetroValet,Budget discussion,Property Manager,Contact 029,+91-90000-10028,,Parking demand appears higher during peak hours.,12.974802,77.643076,No,,Synthetic Demo
Sterling Tech Park,Sterling,Electronic City,,Electronic City,South Bengaluru,Coworking Space,"129, Electronic City Main Road, Bengaluru",12.841161,77.658753,synthetic_demo,high,Rep B,2026-06-27,Space Shortage,25 cars and 40 bikes,MetroValet,,Facility Manager,Contact 030,+91-90000-10029,Check requirement next month,Opportunity requires management approval.,12.841039,77.658396,No,,Synthetic Demo
Axis Workspaces,Axis,Whitefield,,Whitefield,East Bengaluru,Business Park,"130, Whitefield Main Road, Bengaluru",12.975674,77.75158,synthetic_demo,high,Rep C,2026-06-30,Opportunity,25 cars and 40 bikes,MetroValet,Quote requested,Security Manager,Contact 031,+91-90000-10030,,Existing parking arrangement is currently being reviewed.,12.976003,77.751677,No,,Synthetic Demo
Redwood Corporate Park,Redwood,Mahadevapura,,Mahadevapura,East Bengaluru,Corporate Office,"131, Mahadevapura Main Road, Bengaluru",12.994283,77.706415,synthetic_demo,high,Rep D,2026-07-03,Opportunity,20 car parking spaces,Urban Parking Solutions,,Operations Manager,Contact 032,+91-90000-10031,,Existing parking arrangement is currently being reviewed.,12.994367,77.706303,No,,Synthetic Demo
Lighthouse Tech Garden,Lighthouse,Brookefield,,Brookefield,East Bengaluru,Tech Park,"132, Brookefield Main Road, Bengaluru",12.973114,77.718312,synthetic_demo,high,Rep A,2026-07-06,Opportunity,25 cars and 40 bikes,None,Budget discussion,Admin Manager,Contact 033,+91-90000-10032,Revisit next week,Opportunity requires management approval.,12.972713,77.717676,No,,Synthetic Demo
CloudPoint Business Hub,CloudPoint,Marathahalli,,Marathahalli,East Bengaluru,Coworking Space,"133, Marathahalli Main Road, Bengaluru",12.955849,77.691785,synthetic_demo,high,Rep B,2026-07-09,Operational Inefficiency,Valet support during peak hours,Urban Parking Solutions,Quote requested,Admin Manager,Contact 034,+91-90000-10033,Send quotation,No immediate requirement; monitor for future demand.,12.955309,77.692265,No,,Synthetic Demo
Momentum Corporate Centre,Momentum,Bellandur,,Bellandur,South-East Bengaluru,Business Park,"134, Bellandur Main Road, Bengaluru",12.922785,77.673613,synthetic_demo,high,Rep C,2026-07-12,No Requirement,,None,Quote requested,Operations Manager,Contact 035,+91-90000-10034,Send quotation,No immediate requirement; monitor for future demand.,12.923474,77.674097,No,,Synthetic Demo
Everest Tech Park,Everest,Domlur,,Domlur,East Bengaluru,Corporate Office,"135, Domlur Main Road, Bengaluru",12.957432,77.644015,synthetic_demo,high,Rep D,2026-07-15,Operational Inefficiency,Overflow parking solution,MetroValet,Quote requested,Facility Manager,Contact 036,+91-90000-10035,Share proposal,Security team redirected the enquiry.,12.958027,77.644589,No,,Synthetic Demo
BridgePoint Workspace,BridgePoint,Koramangala,,Koramangala,South Bengaluru,Tech Park,"136, Koramangala Main Road, Bengaluru",12.939716,77.622276,synthetic_demo,high,Rep A,2026-07-18,No Requirement,,SecurePark,Budget discussion,Operations Manager,Contact 037,+91-90000-10036,Share proposal,No immediate requirement; monitor for future demand.,12.940189,77.62184,No,,Synthetic Demo
Pinnacle Business Park,Pinnacle,HSR Layout,,HSR Layout,South-East Bengaluru,Coworking Space,"137, HSR Layout Main Road, Bengaluru",12.913465,77.646148,synthetic_demo,high,Rep B,2026-07-21,Opportunity,Overflow parking solution,SecurePark,Budget discussion,Operations Manager,Contact 038,+91-90000-10037,Share proposal,No immediate requirement; monitor for future demand.,12.912776,77.646585,No,,Synthetic Demo
Amber Corporate Hub,Amber,Indiranagar,,Indiranagar,East Bengaluru,Business Park,"138, Indiranagar Main Road, Bengaluru",12.983375,77.640306,synthetic_demo,high,Rep C,2026-07-24,Follow-up,,Urban Parking Solutions,Budget discussion,Facility Manager,Contact 039,+91-90000-10038,Send quotation,Initial discussion completed.,12.983978,77.639924,No,,Synthetic Demo
TechVista Campus,TechVista,Electronic City,,Electronic City,South Bengaluru,Corporate Office,"139, Electronic City Main Road, Bengaluru",12.842379,77.65716,synthetic_demo,high,Rep D,2026-07-27,Access Blocked,,None,,Property Manager,Contact 040,+91-90000-10039,Call facility manager,Security team redirected the enquiry.,12.842132,77.657618,No,,Synthetic Demo
Orion Tech Park,Orion,Whitefield,,Whitefield,East Bengaluru,Tech Park,"100, Whitefield Main Road, Bengaluru",12.971473,77.7442,synthetic_demo,high,Rep A,2026-07-30,Competitor,,SecurePark,Quote requested,Operations Manager,Contact 041,+91-90000-10040,,Initial discussion completed.,12.971807,77.743403,No,,Synthetic Demo
Vertex Business Park,Vertex,Mahadevapura,,Mahadevapura,East Bengaluru,Coworking Space,"101, Mahadevapura Main Road, Bengaluru",12.9909,77.700879,synthetic_demo,high,Rep B,2026-08-02,Operational Inefficiency,Valet support during peak hours,MetroValet,Not discussed,Facility Manager,Contact 042,+91-90000-10041,Share proposal,Opportunity requires management approval.,12.991573,77.701076,No,,Synthetic Demo
Summit Tech Campus,Summit,Brookefield,,Brookefield,East Bengaluru,Business Park,"102, Brookefield Main Road, Bengaluru",12.971838,77.71712,synthetic_demo,high,Rep C,2026-08-05,Space Shortage,20 car parking spaces,Urban Parking Solutions,Budget discussion,Security Manager,Contact 043,+91-90000-10042,Call facility manager,Facility team requested more details.,12.971682,77.716793,No,,Synthetic Demo
Apex Corporate Hub,Apex,Marathahalli,,Marathahalli,East Bengaluru,Corporate Office,"103, Marathahalli Main Road, Bengaluru",12.963806,77.692443,synthetic_demo,high,Rep D,2026-08-08,No Requirement,,SecurePark,Not discussed,Admin Manager,Contact 044,+91-90000-10043,Share proposal,Existing parking arrangement is currently being reviewed.,12.963917,77.692293,No,,Synthetic Demo
Greenfield Corporate Centre,Greenfield,Brookefield,,Brookefield,East Bengaluru,Tech Park,"112, Brookefield Main Road, Bengaluru",12.974487,77.713039,synthetic_demo,high,Rep B,2026-08-11,Operational Inefficiency,20 car parking spaces,MetroValet,Quote requested,Security Manager,Contact 045,+91-90000-10044,Call facility manager,No immediate requirement; monitor for future demand.,12.974615,77.713287,Yes,Rep C,Synthetic Demo
NexGen Office Hub,NexGen,Domlur,,Domlur,East Bengaluru,Corporate Office,"115, Domlur Main Road, Bengaluru",12.964586,77.641457,synthetic_demo,high,Rep C,2026-08-14,Competitor,,SecurePark,Quote requested,Property Manager,Contact 046,+91-90000-10045,Check requirement next month,Security team redirected the enquiry.,12.965056,77.642193,Yes,Rep D,Synthetic Demo
Crest Business Centre,Crest,Indiranagar,,Indiranagar,East Bengaluru,Business Park,"118, Indiranagar Main Road, Bengaluru",12.982353,77.642222,synthetic_demo,high,Rep D,2026-04-01,Space Shortage,30 two-wheeler spaces,MetroValet,Budget discussion,Facility Manager,Contact 047,+91-90000-10046,,No immediate requirement; monitor for future demand.,12.983076,77.641798,Yes,Rep A,Synthetic Demo
EastPoint Workspaces,EastPoint,HSR Layout,,HSR Layout,South-East Bengaluru,Corporate Office,"107, HSR Layout Main Road, Bengaluru",12.913399,77.647939,synthetic_demo,high,Rep D,2026-04-04,Follow-up,,ParkPro Services,Quote requested,Facility Manager,Contact 048,+91-90000-10047,Share proposal,Initial discussion completed.,12.912991,77.647899,No,,Synthetic Demo
Cedar Business Park,Cedar,Indiranagar,,Indiranagar,East Bengaluru,Tech Park,"108, Indiranagar Main Road, Bengaluru",12.975045,77.641871,synthetic_demo,high,Rep A,2026-04-07,Operational Inefficiency,20 car parking spaces,SecurePark,Quote requested,Security Manager,Contact 049,+91-90000-10048,Check requirement next month,Security team redirected the enquiry.,12.974884,77.641307,No,,Synthetic Demo
Infinity Corporate Plaza,Infinity,Electronic City,,Electronic City,South Bengaluru,Coworking Space,"109, Electronic City Main Road, Bengaluru",12.848913,77.654278,synthetic_demo,high,Rep B,2026-04-10,Space Shortage,20 car parking spaces,SecurePark,Quote requested,Admin Manager,Contact 050,+91-90000-10049,,No immediate requirement; monitor for future demand.,12.849646,77.654307,No,,Synthetic Demo
Meridian Tech Park,Meridian,Whitefield,,Whitefield,East Bengaluru,Business Park,"110, Whitefield Main Road, Bengaluru",12.97347,77.752278,synthetic_demo,high,Rep C,2026-04-13,Opportunity,Valet support during peak hours,None,Not discussed,Admin Manager,Contact 051,+91-90000-10050,Share proposal,No immediate requirement; monitor for future demand.,12.973413,77.752328,No,,Synthetic Demo
UrbanHive Workspace,UrbanHive,Mahadevapura,,Mahadevapura,East Bengaluru,Corporate Office,"111, Mahadevapura Main Road, Bengaluru",12.991683,77.700066,synthetic_demo,high,Rep D,2026-04-16,Access Blocked,,SecurePark,Not discussed,Property Manager,Contact 052,+91-90000-10051,Revisit next week,Security team redirected the enquiry.,12.992319,77.700456,No,,Synthetic Demo
Greenfield Corporate Centre,Greenfield,Brookefield,,Brookefield,East Bengaluru,Tech Park,"112, Brookefield Main Road, Bengaluru",12.974487,77.713039,synthetic_demo,high,Rep A,2026-04-19,Competitor,,MetroValet,Quote requested,Operations Manager,Contact 053,+91-90000-10052,Check requirement next month,No immediate requirement; monitor for future demand.,12.974931,77.713014,No,,Synthetic Demo
Skyline Tech Campus,Skyline,Marathahalli,,Marathahalli,East Bengaluru,Coworking Space,"113, Marathahalli Main Road, Bengaluru",12.954213,77.692561,synthetic_demo,high,Rep B,2026-04-22,No Requirement,,SecurePark,,Operations Manager,Contact 054,+91-90000-10053,Call facility manager,Parking demand appears higher during peak hours.,12.953848,77.692273,No,,Synthetic Demo
PrimeWorks Business Park,PrimeWorks,Bellandur,,Bellandur,South-East Bengaluru,Business Park,"114, Bellandur Main Road, Bengaluru",12.92917,77.677645,synthetic_demo,high,Rep C,2026-04-25,Access Blocked,,ParkPro Services,Quote requested,Admin Manager,Contact 055,+91-90000-10054,,Security team redirected the enquiry.,12.92948,77.677975,No,,Synthetic Demo
NexGen Office Hub,NexGen,Domlur,,Domlur,East Bengaluru,Corporate Office,"115, Domlur Main Road, Bengaluru",12.964586,77.641457,synthetic_demo,high,Rep D,2026-04-28,Opportunity,Additional visitor parking,MetroValet,Not discussed,Security Manager,Contact 056,+91-90000-10055,Send quotation,Initial discussion completed.,12.964117,77.641329,No,,Synthetic Demo
SilverOak Tech Garden,SilverOak,Koramangala,,Koramangala,South Bengaluru,Tech Park,"116, Koramangala Main Road, Bengaluru",12.935635,77.630177,synthetic_demo,high,Rep A,2026-05-01,Operational Inefficiency,Valet support during peak hours,Urban Parking Solutions,Not discussed,Security Manager,Contact 057,+91-90000-10056,,Initial discussion completed.,12.936343,77.629855,No,,Synthetic Demo
Maple Corporate Park,Maple,HSR Layout,,HSR Layout,South-East Bengaluru,Coworking Space,"117, HSR Layout Main Road, Bengaluru",12.910142,77.648024,synthetic_demo,high,Rep B,2026-05-04,Competitor,,Urban Parking Solutions,Quote requested,Security Manager,Contact 058,+91-90000-10057,Send quotation,Parking demand appears higher during peak hours.,12.909779,77.648001,No,,Synthetic Demo
Crest Business Centre,Crest,Indiranagar,,Indiranagar,East Bengaluru,Business Park,"118, Indiranagar Main Road, Bengaluru",12.982353,77.642222,synthetic_demo,high,Rep C,2026-05-07,Competitor,,SecurePark,Quote requested,Security Manager,Contact 059,+91-90000-10058,Revisit next week,Parking demand appears higher during peak hours.,12.983122,77.642277,No,,Synthetic Demo
Elevate Coworking Campus,Elevate,Electronic City,,Electronic City,South Bengaluru,Corporate Office,"119, Electronic City Main Road, Bengaluru",12.84954,77.661128,synthetic_demo,high,Rep D,2026-05-10,Competitor,,None,Not discussed,Admin Manager,Contact 060,+91-90000-10059,,No immediate requirement; monitor for future demand.,12.849479,77.660408,No,,Synthetic Demo
Zenith Tech Park,Zenith,Whitefield,,Whitefield,East Bengaluru,Tech Park,"120, Whitefield Main Road, Bengaluru",12.972255,77.74445,synthetic_demo,high,Rep A,2026-05-13,Competitor,,ParkPro Services,Not discussed,Operations Manager,Contact 061,+91-90000-10060,Revisit next week,Facility team requested more details.,12.972673,77.744257,No,,Synthetic Demo
Harbor Business Hub,Harbor,Mahadevapura,,Mahadevapura,East Bengaluru,Coworking Space,"121, Mahadevapura Main Road, Bengaluru",12.990335,77.701673,synthetic_demo,high,Rep B,2026-05-16,Operational Inefficiency,Additional visitor parking,None,Not discussed,Facility Manager,Contact 062,+91-90000-10061,Call facility manager,Opportunity requires management approval.,12.990398,77.702473,No,,Synthetic Demo
Matrix Corporate Centre,Matrix,Brookefield,,Brookefield,East Bengaluru,Business Park,"122, Brookefield Main Road, Bengaluru",12.963958,77.711793,synthetic_demo,high,Rep C,2026-05-19,Follow-up,,None,,Facility Manager,Contact 063,+91-90000-10062,Share proposal,Parking demand appears higher during peak hours.,12.963477,77.711026,No,,Synthetic Demo
NorthStar Tech Park,NorthStar,Marathahalli,,Marathahalli,East Bengaluru,Corporate Office,"123, Marathahalli Main Road, Bengaluru",12.954312,77.694736,synthetic_demo,high,Rep D,2026-05-22,No Requirement,,ParkPro Services,Not discussed,Facility Manager,Contact 064,+91-90000-10063,Share proposal,Existing parking arrangement is currently being reviewed.,12.955028,77.69468,No,,Synthetic Demo
Catalyst Business Park,Catalyst,Bellandur,,Bellandur,South-East Bengaluru,Tech Park,"124, Bellandur Main Road, Bengaluru",12.926628,77.674778,synthetic_demo,high,Rep A,2026-05-25,Follow-up,,ParkPro Services,,Admin Manager,Contact 065,+91-90000-10064,Revisit next week,Facility team requested more details.,12.926001,77.674019,No,,Synthetic Demo
Oakwood Workspaces,Oakwood,Domlur,,Domlur,East Bengaluru,Coworking Space,"125, Domlur Main Road, Bengaluru",12.959342,77.635214,synthetic_demo,high,Rep B,2026-05-28,Follow-up,,SecurePark,Quote requested,Facility Manager,Contact 066,+91-90000-10065,Send quotation,Existing parking arrangement is currently being reviewed.,12.959647,77.635418,No,,Synthetic Demo
Fusion Tech Campus,Fusion,Koramangala,,Koramangala,South Bengaluru,Business Park,"126, Koramangala Main Road, Bengaluru",12.932404,77.62974,synthetic_demo,high,Rep C,2026-05-31,Opportunity,Overflow parking solution,Urban Parking Solutions,,Property Manager,Contact 067,+91-90000-10066,Call facility manager,No immediate requirement; monitor for future demand.,12.93167,77.629792,No,,Synthetic Demo
BluePeak Corporate Hub,BluePeak,HSR Layout,,HSR Layout,South-East Bengaluru,Corporate Office,"127, HSR Layout Main Road, Bengaluru",12.913376,77.64871,synthetic_demo,high,Rep D,2026-06-03,Space Shortage,25 cars and 40 bikes,Urban Parking Solutions,Budget discussion,Facility Manager,Contact 068,+91-90000-10067,,No immediate requirement; monitor for future demand.,12.913248,77.648694,No,,Synthetic Demo
Vantage Business Centre,Vantage,Indiranagar,,Indiranagar,East Bengaluru,Tech Park,"128, Indiranagar Main Road, Bengaluru",12.974454,77.64355,synthetic_demo,high,Rep A,2026-06-06,Competitor,,SecurePark,Quote requested,Security Manager,Contact 069,+91-90000-10068,Revisit next week,Parking demand appears higher during peak hours.,12.974828,77.644295,No,,Synthetic Demo
Sterling Tech Park,Sterling,Electronic City,,Electronic City,South Bengaluru,Coworking Space,"129, Electronic City Main Road, Bengaluru",12.841161,77.658753,synthetic_demo,high,Rep B,2026-06-09,Follow-up,,SecurePark,Not discussed,Property Manager,Contact 070,+91-90000-10069,Check requirement next month,Facility team requested more details.,12.840877,77.658346,No,,Synthetic Demo
Meridian Tech Park,Meridian,Whitefield,,Whitefield,East Bengaluru,Business Park,"110, Whitefield Main Road, Bengaluru",12.97347,77.752278,synthetic_demo,high,Rep D,2026-06-12,Opportunity,25 cars and 40 bikes,ParkPro Services,Not discussed,Property Manager,Contact 071,+91-90000-10070,Check requirement next month,Existing parking arrangement is currently being reviewed.,12.973739,77.752016,Yes,Rep A,Synthetic Demo
Skyline Tech Campus,Skyline,Marathahalli,,Marathahalli,East Bengaluru,Coworking Space,"113, Marathahalli Main Road, Bengaluru",12.954213,77.692561,synthetic_demo,high,Rep A,2026-06-15,Competitor,,ParkPro Services,Not discussed,Admin Manager,Contact 072,+91-90000-10071,Revisit next week,Facility team requested more details.,12.95469,77.692306,Yes,Rep B,Synthetic Demo
SilverOak Tech Garden,SilverOak,Koramangala,,Koramangala,South Bengaluru,Tech Park,"116, Koramangala Main Road, Bengaluru",12.935635,77.630177,synthetic_demo,high,Rep B,2026-06-18,Access Blocked,,Urban Parking Solutions,,Property Manager,Contact 073,+91-90000-10072,Call facility manager,Parking demand appears higher during peak hours.,12.934972,77.630529,Yes,Rep C,Synthetic Demo
