PROPERTY NAME,BRAND,BRANCH,PARENT SITE,AREA,REGION,TYPE,FULL ADDRESS,EXACT LOCATION,LAT,LON,SOURCE,LOCATION CONFIDENCE,REP,VISIT DATE,OUTCOME,REQUIREMENT,COMPETITOR/VENDOR,PRICING,CONTACT ROLE,CONTACT NAME,CONTACT EMAIL,CONTACT PHONE,FOLLOW-UP,REMARKS,LOGGED_LAT,LOGGED_LON,OVERLAP_FLAG,OVERLAP_REP,DATA_STATUS,OWNER_REP,PROPERTY_STATUS
Greenfield Business Park,Greenfield,Whitefield,"110 Whitefield Main Road, Bengaluru",Whitefield,East Bengaluru,Business Park,"110 Whitefield Main Road, Bengaluru",Main Block,12.973322,77.747351,synthetic_demo,high,Rep C,2026-04-04,Opportunity,20 car parking spaces,Urban Parking Solutions,Quote requested,Operations Manager,Contact Person 011,contact011@example.com,+91-90000-10010,follow_up_scheduled,Meaningful business conversation completed; requirement identified.,12.973266754655642,77.74721355285969,No,,Synthetic Demo,Rep C,Opportunity
Skyline Corporate Centre,Skyline,Mahadevapura,"111 Mahadevapura Main Road, Bengaluru",Mahadevapura,East Bengaluru,Corporate Office,"111 Mahadevapura Main Road, Bengaluru",Building 2,12.995262,77.708974,synthetic_demo,high,Rep D,2026-05-07,Opportunity,Valet support during peak hours,None,Quote requested,Property Manager,Contact Person 012,contact012@example.com,+91-90000-10011,quote_requested,Meaningful business conversation completed; requirement identified.,12.995649732160352,77.70904485241579,No,,Synthetic Demo,Rep D,Opportunity
PrimeWorks Tech Park,PrimeWorks,Brookefield,"112 Brookefield Main Road, Bengaluru",Brookefield,East Bengaluru,Tech Park,"112 Brookefield Main Road, Bengaluru",Tower B,12.968533,77.716968,synthetic_demo,high,Rep A,2026-06-10,Not Interested,,SecurePark,,Facility Manager,Contact Person 013,contact013@example.com,+91-90000-10012,none,Contacted; no interest at present.,12.968634175973593,77.7170093668618,No,,Synthetic Demo,,Not Interested
NexGen Coworking Workspace,NexGen,Marathahalli,"113 Marathahalli Main Road, Bengaluru",Marathahalli,East Bengaluru,Coworking Space,"113 Marathahalli Main Road, Bengaluru",Building 1,12.961496,77.704525,synthetic_demo,high,Rep B,2026-07-13,No Requirement,,Urban Parking Solutions,,Admin Manager,Contact Person 014,contact014@example.com,+91-90000-10013,none,No current parking requirement. Contact retained for future outreach.,12.961623406600973,77.70434647117568,No,,Synthetic Demo,,No Requirement
SilverOak Business Park,SilverOak,Bellandur,"114 Bellandur Main Road, Bengaluru",Bellandur,South-East Bengaluru,Business Park,"114 Bellandur Main Road, Bengaluru",Tower C,12.929548,77.668402,synthetic_demo,high,Rep C,2026-08-16,No Requirement,,Urban Parking Solutions,,Operations Manager,Contact Person 015,contact015@example.com,+91-90000-10014,none,No current parking requirement. Contact retained for future outreach.,12.929522205924352,77.6687883676282,No,,Synthetic Demo,,No Requirement
Maple Corporate Centre,Maple,Domlur,"115 Domlur Main Road, Bengaluru",Domlur,East Bengaluru,Corporate Office,"115 Domlur Main Road, Bengaluru",Tower A,12.956297,77.644081,synthetic_demo,high,Rep D,2026-04-19,Opportunity,Valet support during peak hours,MetroValet,Quote requested,Property Manager,Contact Person 016,contact016@example.com,+91-90000-10015,quote_requested,Meaningful business conversation completed; requirement identified.,12.95621912407011,77.64442289362343,No,,Synthetic Demo,Rep D,Opportunity
Crest Tech Park,Crest,Koramangala,"116 Koramangala Main Road, Bengaluru",Koramangala,South Bengaluru,Tech Park,"116 Koramangala Main Road, Bengaluru",Main Block,12.939796,77.624445,synthetic_demo,high,Rep A,2026-05-22,No Requirement,,Urban Parking Solutions,,Facility Manager,Contact Person 017,contact017@example.com,+91-90000-10016,none,No current parking requirement. Contact retained for future outreach.,12.93941853263977,77.62473646696019,No,,Synthetic Demo,,No Requirement
Elevate Coworking Workspace,Elevate,HSR Layout,"117 HSR Layout Main Road, Bengaluru",HSR Layout,South-East Bengaluru,Coworking Space,"117 HSR Layout Main Road, Bengaluru",Tower B,12.909869,77.639719,synthetic_demo,high,Rep B,2026-06-25,No Requirement,,SecurePark,,Admin Manager,Contact Person 018,contact018@example.com,+91-90000-10017,none,No current parking requirement. Contact retained for future outreach.,12.909691979031162,77.63965736357055,No,,Synthetic Demo,,No Requirement
Zenith Business Park,Zenith,Indiranagar,"118 Indiranagar Main Road, Bengaluru",Indiranagar,East Bengaluru,Business Park,"118 Indiranagar Main Road, Bengaluru",Tower B,12.972775,77.645611,synthetic_demo,high,Rep C,2026-07-01,No Requirement,,ParkPro Services,,Operations Manager,Contact Person 019,contact019@example.com,+91-90000-10018,none,No current parking requirement. Contact retained for future outreach.,12.973035621240632,77.6456758181922,No,,Synthetic Demo,,No Requirement
Harbor Corporate Centre,Harbor,Electronic City,"119 Electronic City Main Road, Bengaluru",Electronic City,South Bengaluru,Corporate Office,"119 Electronic City Main Road, Bengaluru",Main Block,12.848516,77.656141,synthetic_demo,high,Rep D,2026-08-04,No Requirement,,SecurePark,,Property Manager,Contact Person 020,contact020@example.com,+91-90000-10019,none,No current parking requirement. Contact retained for future outreach.,12.848750740619357,77.65612029811649,No,,Synthetic Demo,,No Requirement
Matrix Tech Park,Matrix,Whitefield,"120 Whitefield Main Road, Bengaluru",Whitefield,East Bengaluru,Tech Park,"120 Whitefield Main Road, Bengaluru",Building 2,12.964764,77.742462,synthetic_demo,high,Rep A,2026-04-07,Follow-up,Additional parking assessment,SecurePark,,Facility Manager,Contact Person 021,contact021@example.com,+91-90000-10020,awaiting_callback,Conversation started; next action required.,12.964991007681803,77.74248193504471,No,,Synthetic Demo,Rep A,Follow-up
NorthStar Coworking Workspace,NorthStar,Mahadevapura,"121 Mahadevapura Main Road, Bengaluru",Mahadevapura,East Bengaluru,Coworking Space,"121 Mahadevapura Main Road, Bengaluru",Tower C,12.999736,77.703834,synthetic_demo,high,Rep B,2026-05-10,Opportunity,25 cars and 40 bikes,MetroValet,Quote requested,Admin Manager,Contact Person 022,contact022@example.com,+91-90000-10021,follow_up_scheduled,Meaningful business conversation completed; requirement identified.,12.99974919354505,77.70421891886312,No,,Synthetic Demo,Rep B,Opportunity
Catalyst Business Park,Catalyst,Brookefield,"122 Brookefield Main Road, Bengaluru",Brookefield,East Bengaluru,Business Park,"122 Brookefield Main Road, Bengaluru",Tower B,12.968638,77.71667,synthetic_demo,high,Rep C,2026-06-13,Opportunity,25 cars and 40 bikes,MetroValet,Quote requested,Operations Manager,Contact Person 023,contact023@example.com,+91-90000-10022,follow_up_scheduled,Meaningful business conversation completed; requirement identified.,12.968858061497988,77.71694622976675,No,,Synthetic Demo,Rep C,Opportunity
Oakwood Corporate Centre,Oakwood,Marathahalli,"123 Marathahalli Main Road, Bengaluru",Marathahalli,East Bengaluru,Corporate Office,"123 Marathahalli Main Road, Bengaluru",Building 1,12.960966,77.6915,synthetic_demo,high,Rep D,2026-07-16,Opportunity,25 cars and 40 bikes,MetroValet,Quote requested,Property Manager,Contact Person 024,contact024@example.com,+91-90000-10023,follow_up_scheduled,Meaningful business conversation completed; requirement identified.,12.960930739305581,77.69184729332206,No,,Synthetic Demo,Rep D,Opportunity
Fusion Tech Park,Fusion,Bellandur,"124 Bellandur Main Road, Bengaluru",Bellandur,South-East Bengaluru,Tech Park,"124 Bellandur Main Road, Bengaluru",Tower A,12.919516,77.681575,synthetic_demo,high,Rep A,2026-08-19,Follow-up,Visitor parking requirement,MetroValet,,Facility Manager,Contact Person 025,contact025@example.com,+91-90000-10024,awaiting_callback,Conversation started; next action required.,12.919296090386808,77.68163812623085,No,,Synthetic Demo,Rep A,Follow-up
BluePeak Coworking Workspace,BluePeak,Domlur,"125 Domlur Main Road, Bengaluru",Domlur,East Bengaluru,Coworking Space,"125 Domlur Main Road, Bengaluru",Tower B,12.959204,77.633185,synthetic_demo,high,Rep B,2026-04-22,Opportunity,Additional visitor parking,Urban Parking Solutions,Quote requested,Admin Manager,Contact Person 026,contact026@example.com,+91-90000-10025,follow_up_scheduled,Meaningful business conversation completed; requirement identified.,12.958928884847415,77.63327259334325,No,,Synthetic Demo,Rep B,Opportunity
Vantage Business Park,Vantage,Koramangala,"126 Koramangala Main Road, Bengaluru",Koramangala,South Bengaluru,Business Park,"126 Koramangala Main Road, Bengaluru",Building 2,12.941467,77.621112,synthetic_demo,high,Rep C,2026-05-25,Opportunity,25 cars and 40 bikes,MetroValet,Quote requested,Operations Manager,Contact Person 027,contact027@example.com,+91-90000-10026,follow_up_scheduled,Meaningful business conversation completed; requirement identified.,12.941458950921941,77.6211659805188,No,,Synthetic Demo,Rep C,Opportunity
Sterling Corporate Centre,Sterling,HSR Layout,"127 HSR Layout Main Road, Bengaluru",HSR Layout,South-East Bengaluru,Corporate Office,"127 HSR Layout Main Road, Bengaluru",Tower C,12.918701,77.64652,synthetic_demo,high,Rep D,2026-06-01,Not Interested,,Urban Parking Solutions,,Property Manager,Contact Person 028,contact028@example.com,+91-90000-10027,none,Contacted; no interest at present.,12.918781205191895,77.64614644654114,No,,Synthetic Demo,,Not Interested
Redwood Tech Park,Redwood,Indiranagar,"128 Indiranagar Main Road, Bengaluru",Indiranagar,East Bengaluru,Tech Park,"128 Indiranagar Main Road, Bengaluru",Tower A,12.986035,77.645637,synthetic_demo,high,Rep A,2026-07-04,No Requirement,,SecurePark,,Facility Manager,Contact Person 029,contact029@example.com,+91-90000-10028,none,No current parking requirement. Contact retained for future outreach.,12.986196339165751,77.64567406560644,No,,Synthetic Demo,,No Requirement
Lighthouse Coworking Workspace,Lighthouse,Electronic City,"129 Electronic City Main Road, Bengaluru",Electronic City,South Bengaluru,Coworking Space,"129 Electronic City Main Road, Bengaluru",Tower B,12.843321,77.652525,synthetic_demo,high,Rep B,2026-08-07,Not Interested,,Urban Parking Solutions,,Admin Manager,Contact Person 030,contact030@example.com,+91-90000-10029,none,Contacted; no interest at present.,12.84333903841651,77.65243077663033,No,,Synthetic Demo,,Not Interested
CloudPoint Business Park,CloudPoint,Whitefield,"130 Whitefield Main Road, Bengaluru",Whitefield,East Bengaluru,Business Park,"130 Whitefield Main Road, Bengaluru",Tower B,12.971471,77.743672,synthetic_demo,high,Rep C,2026-04-10,Access Blocked,,MetroValet,,Operations Manager,Contact Person 031,contact031@example.com,+91-90000-10030,none,Access/security prevented business discussion.,12.971767774166768,77.74369534979063,No,,Synthetic Demo,,Open
Momentum Corporate Centre,Momentum,Mahadevapura,"131 Mahadevapura Main Road, Bengaluru",Mahadevapura,East Bengaluru,Corporate Office,"131 Mahadevapura Main Road, Bengaluru",Tower A,12.986651,77.700993,synthetic_demo,high,Rep D,2026-05-13,No Requirement,,None,,Property Manager,Contact Person 032,contact032@example.com,+91-90000-10031,none,No current parking requirement. Contact retained for future outreach.,12.986273897932918,77.70068149391619,No,,Synthetic Demo,,No Requirement
Everest Tech Park,Everest,Brookefield,"132 Brookefield Main Road, Bengaluru",Brookefield,East Bengaluru,Tech Park,"132 Brookefield Main Road, Bengaluru",Tower A,12.963506,77.721024,synthetic_demo,high,Rep A,2026-06-16,No Requirement,,SecurePark,,Facility Manager,Contact Person 033,contact033@example.com,+91-90000-10032,none,No current parking requirement. Contact retained for future outreach.,12.963653076584563,77.72063936536783,No,,Synthetic Demo,,No Requirement
BridgePoint Coworking Workspace,BridgePoint,Marathahalli,"133 Marathahalli Main Road, Bengaluru",Marathahalli,East Bengaluru,Coworking Space,"133 Marathahalli Main Road, Bengaluru",Building 2,12.964405,77.698434,synthetic_demo,high,Rep B,2026-07-19,Opportunity,25 cars and 40 bikes,SecurePark,Quote requested,Admin Manager,Contact Person 034,contact034@example.com,+91-90000-10033,quote_requested,Meaningful business conversation completed; requirement identified.,12.96429883834975,77.6982808643246,No,,Synthetic Demo,Rep B,Opportunity
Pinnacle Business Park,Pinnacle,Bellandur,"134 Bellandur Main Road, Bengaluru",Bellandur,South-East Bengaluru,Business Park,"134 Bellandur Main Road, Bengaluru",Tower C,12.921613,77.671178,synthetic_demo,high,Rep C,2026-08-22,No Requirement,,MetroValet,,Operations Manager,Contact Person 035,contact035@example.com,+91-90000-10034,none,No current parking requirement. Contact retained for future outreach.,12.921327443950107,77.67097113454642,No,,Synthetic Demo,,No Requirement
Amber Corporate Centre,Amber,Domlur,"135 Domlur Main Road, Bengaluru",Domlur,East Bengaluru,Corporate Office,"135 Domlur Main Road, Bengaluru",Tower C,12.961983,77.634963,synthetic_demo,high,Rep D,2026-04-25,Follow-up,Additional parking assessment,MetroValet,,Property Manager,Contact Person 036,contact036@example.com,+91-90000-10035,revisit_needed,Conversation started; next action required.,12.961719715040777,77.63528646074857,No,,Synthetic Demo,Rep D,Follow-up
TechVista Tech Park,TechVista,Koramangala,"136 Koramangala Main Road, Bengaluru",Koramangala,South Bengaluru,Tech Park,"136 Koramangala Main Road, Bengaluru",Main Block,12.935316,77.626304,synthetic_demo,high,Rep A,2026-05-01,Follow-up,Visitor parking requirement,MetroValet,,Facility Manager,Contact Person 037,contact037@example.com,+91-90000-10036,awaiting_callback,Conversation started; next action required.,12.93503688207475,77.62628294514772,No,,Synthetic Demo,Rep A,Follow-up
Quantum Coworking Workspace,Quantum,HSR Layout,"137 HSR Layout Main Road, Bengaluru",HSR Layout,South-East Bengaluru,Coworking Space,"137 HSR Layout Main Road, Bengaluru",Tower C,12.91666,77.648844,synthetic_demo,high,Rep B,2026-06-04,Follow-up,Valet requirement review,SecurePark,,Admin Manager,Contact Person 038,contact038@example.com,+91-90000-10037,awaiting_callback,Conversation started; next action required.,12.917006342115647,77.64862889977651,No,,Synthetic Demo,Rep B,Follow-up
Cobalt Business Park,Cobalt,Indiranagar,"138 Indiranagar Main Road, Bengaluru",Indiranagar,East Bengaluru,Business Park,"138 Indiranagar Main Road, Bengaluru",Building 2,12.979919,77.644256,synthetic_demo,high,Rep C,2026-07-07,Could Not Reach Decision Maker,,SecurePark,,Operations Manager,Contact Person 039,contact039@example.com,+91-90000-10038,contact_obtained,Initial contact made but decision maker unavailable.,12.98003052552832,77.64454307979025,No,,Synthetic Demo,,Open
Aspire Corporate Centre,Aspire,Electronic City,"139 Electronic City Main Road, Bengaluru",Electronic City,South Bengaluru,Corporate Office,"139 Electronic City Main Road, Bengaluru",Building 2,12.841485,77.663274,synthetic_demo,high,Rep D,2026-08-10,Could Not Reach Decision Maker,,Urban Parking Solutions,,Property Manager,Contact Person 040,contact040@example.com,+91-90000-10039,contact_obtained,Initial contact made but decision maker unavailable.,12.841763445398398,77.66297641972128,No,,Synthetic Demo,,Open
Stratus Tech Park,Stratus,Whitefield,"140 Whitefield Main Road, Bengaluru",Whitefield,East Bengaluru,Tech Park,"140 Whitefield Main Road, Bengaluru",Tower C,12.973437,77.743243,synthetic_demo,high,Rep A,2026-04-13,Not Interested,,SecurePark,,Facility Manager,Contact Person 041,contact041@example.com,+91-90000-10040,none,Contacted; no interest at present.,12.973579468295336,77.74363601004958,No,,Synthetic Demo,,Not Interested
Atlas Coworking Workspace,Atlas,Mahadevapura,"141 Mahadevapura Main Road, Bengaluru",Mahadevapura,East Bengaluru,Coworking Space,"141 Mahadevapura Main Road, Bengaluru",Tower A,12.989506,77.698224,synthetic_demo,high,Rep B,2026-05-16,No Requirement,,Urban Parking Solutions,,Admin Manager,Contact Person 042,contact042@example.com,+91-90000-10041,none,No current parking requirement. Contact retained for future outreach.,12.989397302348998,77.69834163400965,No,,Synthetic Demo,,No Requirement
Crescent Business Park,Crescent,Brookefield,"142 Brookefield Main Road, Bengaluru",Brookefield,East Bengaluru,Business Park,"142 Brookefield Main Road, Bengaluru",Building 2,12.97056,77.719271,synthetic_demo,high,Rep C,2026-06-19,Opportunity,25 cars and 40 bikes,None,Quote requested,Operations Manager,Contact Person 043,contact043@example.com,+91-90000-10042,proposal_requested,Meaningful business conversation completed; requirement identified.,12.97017970891068,77.71902524386029,No,,Synthetic Demo,Rep C,Opportunity
MetroEdge Corporate Centre,MetroEdge,Marathahalli,"143 Marathahalli Main Road, Bengaluru",Marathahalli,East Bengaluru,Corporate Office,"143 Marathahalli Main Road, Bengaluru",Tower A,12.965886,77.699132,synthetic_demo,high,Rep D,2026-07-22,No Requirement,,None,,Property Manager,Contact Person 044,contact044@example.com,+91-90000-10043,none,No current parking requirement. Contact retained for future outreach.,12.966023598006434,77.69916408027291,No,,Synthetic Demo,,No Requirement
CoreOne Tech Park,CoreOne,Bellandur,"144 Bellandur Main Road, Bengaluru",Bellandur,South-East Bengaluru,Tech Park,"144 Bellandur Main Road, Bengaluru",Main Block,12.926145,77.669847,synthetic_demo,high,Rep A,2026-08-25,Follow-up,Visitor parking requirement,SecurePark,,Facility Manager,Contact Person 045,contact045@example.com,+91-90000-10044,awaiting_callback,Conversation started; next action required.,12.925784787179879,77.66961606742338,No,,Synthetic Demo,Rep A,Follow-up
VertexOne Coworking Workspace,VertexOne,Domlur,"145 Domlur Main Road, Bengaluru",Domlur,East Bengaluru,Coworking Space,"145 Domlur Main Road, Bengaluru",Main Block,12.954066,77.630793,synthetic_demo,high,Rep B,2026-04-01,Opportunity,25 cars and 40 bikes,SecurePark,Quote requested,Admin Manager,Contact Person 046,contact046@example.com,+91-90000-10045,follow_up_scheduled,Meaningful business conversation completed; requirement identified.,12.95420137423317,77.63063558801161,No,,Synthetic Demo,Rep B,Opportunity
Parkside Business Park,Parkside,Koramangala,"146 Koramangala Main Road, Bengaluru",Koramangala,South Bengaluru,Business Park,"146 Koramangala Main Road, Bengaluru",Building 1,12.932002,77.630849,synthetic_demo,high,Rep C,2026-05-04,No Requirement,,SecurePark,,Operations Manager,Contact Person 047,contact047@example.com,+91-90000-10046,none,No current parking requirement. Contact retained for future outreach.,12.932247526684923,77.63088417046082,No,,Synthetic Demo,,No Requirement
GrandAxis Corporate Centre,GrandAxis,HSR Layout,"147 HSR Layout Main Road, Bengaluru",HSR Layout,South-East Bengaluru,Corporate Office,"147 HSR Layout Main Road, Bengaluru",Tower A,12.915103,77.642387,synthetic_demo,high,Rep D,2026-06-07,Opportunity,25 cars and 40 bikes,MetroValet,Quote requested,Property Manager,Contact Person 048,contact048@example.com,+91-90000-10047,proposal_requested,Meaningful business conversation completed; requirement identified.,12.914748235755805,77.64253848014266,No,,Synthetic Demo,Rep D,Opportunity
SummitOne Tech Park,SummitOne,Indiranagar,"148 Indiranagar Main Road, Bengaluru",Indiranagar,East Bengaluru,Tech Park,"148 Indiranagar Main Road, Bengaluru",Tower A,12.976852,77.634946,synthetic_demo,high,Rep A,2026-07-10,Follow-up,Additional parking assessment,None,,Facility Manager,Contact Person 049,contact049@example.com,+91-90000-10048,awaiting_callback,Conversation started; next action required.,12.976913615416418,77.63507291253866,No,,Synthetic Demo,Rep A,Follow-up
UrbanCore Coworking Workspace,UrbanCore,Electronic City,"149 Electronic City Main Road, Bengaluru",Electronic City,South Bengaluru,Coworking Space,"149 Electronic City Main Road, Bengaluru",Tower B,12.840178,77.661428,synthetic_demo,high,Rep B,2026-08-13,No Requirement,,SecurePark,,Admin Manager,Contact Person 050,contact050@example.com,+91-90000-10049,none,No current parking requirement. Contact retained for future outreach.,12.840020885244897,77.66118748510988,No,,Synthetic Demo,,No Requirement
TechSphere Business Park,TechSphere,Whitefield,"150 Whitefield Main Road, Bengaluru",Whitefield,East Bengaluru,Business Park,"150 Whitefield Main Road, Bengaluru",Tower A,12.970429,77.746829,synthetic_demo,high,Rep C,2026-04-16,Opportunity,Additional visitor parking,Urban Parking Solutions,Quote requested,Operations Manager,Contact Person 051,contact051@example.com,+91-90000-10050,proposal_requested,Meaningful business conversation completed; requirement identified.,12.970343080476209,77.74699432110609,No,,Synthetic Demo,Rep C,Opportunity
WorkNest Corporate Centre,WorkNest,Mahadevapura,"151 Mahadevapura Main Road, Bengaluru",Mahadevapura,East Bengaluru,Corporate Office,"151 Mahadevapura Main Road, Bengaluru",Building 2,12.989512,77.708704,synthetic_demo,high,Rep D,2026-05-19,Access Blocked,,MetroValet,,Property Manager,Contact Person 052,contact052@example.com,+91-90000-10051,none,Access/security prevented business discussion.,12.989563391174645,77.70854206327263,No,,Synthetic Demo,,Open
BusinessBay Tech Park,BusinessBay,Brookefield,"152 Brookefield Main Road, Bengaluru",Brookefield,East Bengaluru,Tech Park,"152 Brookefield Main Road, Bengaluru",Tower A,12.967409,77.712423,synthetic_demo,high,Rep A,2026-06-22,No Requirement,,SecurePark,,Facility Manager,Contact Person 053,contact053@example.com,+91-90000-10052,none,No current parking requirement. Contact retained for future outreach.,12.96746983561992,77.71206121158652,No,,Synthetic Demo,,No Requirement
CentralPoint Coworking Workspace,CentralPoint,Marathahalli,"153 Marathahalli Main Road, Bengaluru",Marathahalli,East Bengaluru,Coworking Space,"153 Marathahalli Main Road, Bengaluru",Building 2,12.951208,77.705196,synthetic_demo,high,Rep B,2026-07-25,No Requirement,,None,,Admin Manager,Contact Person 054,contact054@example.com,+91-90000-10053,none,No current parking requirement. Contact retained for future outreach.,12.951175727407191,77.70540223930885,No,,Synthetic Demo,,No Requirement
EastGate Business Park,EastGate,Bellandur,"154 Bellandur Main Road, Bengaluru",Bellandur,South-East Bengaluru,Business Park,"154 Bellandur Main Road, Bengaluru",Tower A,12.930983,77.670421,synthetic_demo,high,Rep C,2026-08-01,Access Blocked,,MetroValet,,Operations Manager,Contact Person 055,contact055@example.com,+91-90000-10054,none,Access/security prevented business discussion.,12.931111472966093,77.67067084668798,No,,Synthetic Demo,,Open
Horizon Corporate Centre,Horizon,Domlur,"155 Domlur Main Road, Bengaluru",Domlur,East Bengaluru,Corporate Office,"155 Domlur Main Road, Bengaluru",Building 1,12.963445,77.64303,synthetic_demo,high,Rep D,2026-04-04,No Requirement,,MetroValet,,Property Manager,Contact Person 056,contact056@example.com,+91-90000-10055,none,No current parking requirement. Contact retained for future outreach.,12.96312922663979,77.64308300444907,No,,Synthetic Demo,,No Requirement
Lakeview Tech Park,Lakeview,Koramangala,"156 Koramangala Main Road, Bengaluru",Koramangala,South Bengaluru,Tech Park,"156 Koramangala Main Road, Bengaluru",Main Block,12.940622,77.626299,synthetic_demo,high,Rep A,2026-05-07,Opportunity,20 car parking spaces,None,Quote requested,Facility Manager,Contact Person 057,contact057@example.com,+91-90000-10056,proposal_requested,Meaningful business conversation completed; requirement identified.,12.940728136906795,77.62593074881161,No,,Synthetic Demo,Rep A,Opportunity
